frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,sctp.srcport,sctp.dstport,s1ap.ENB_UE_S1AP_ID,s1ap.MME_UE_S1AP_ID,s1ap.procedureCode
"60","1758134416.641237000","7.193.167.162","10.164.26.130",,,"53706","36412","1521934","3250646045","23"
"61","1758134416.641238000","10.3.7.23","18.8.23.13",,,"36412","36412","11097","1514253","9"
"62","1758134416.641239000",,,"2600:300:20e2:a315::1:db85","2600:300:300c:704::1","47510","36412","1514253","352553210","9"
"63","1758134416.641252000","10.164.26.130","7.193.167.162",,,"36412","53706","39954","3250645983","11"
"64","1758134416.641252000","18.8.23.13","10.3.7.72",,,"36412","36412","5230","39954","11"
"65","1758134416.769819000","10.3.7.72","18.8.23.13",,,"36412","36412","5230","39954","13"
"66","1758134416.769819000","7.193.167.162","10.164.26.130",,,"53706","36412","39954","3250645983","13"
"67","1758134416.769824000","10.164.26.130","7.193.167.162",,,"36412","53706","39954","3250645983","11"
"68","1758134416.769824000","18.8.23.13","10.3.7.72",,,"36412","36412","5230","39954","11"
"69","1758134416.903778000","10.3.7.72","18.8.23.13",,,"36412","36412","5230","39954","13"
"70","1758134416.903779000","7.193.167.162","10.164.26.130",,,"53706","36412","39954","3250645983","13"
"71","1758134416.903781000","10.164.26.130","7.193.167.162",,,"36412","53706","39954","3250645983","11"
"72","1758134416.903781000","10.164.26.130","7.193.167.162",,,"36412","53706","39954","3250645983","23"
"73","1758134416.903782000","18.8.23.13","10.3.7.72",,,"36412","36412","5230","39954","11"
"74","1758134416.903783000","18.8.23.13","10.3.7.72",,,"36412","36412","5230","39954","23"
"75","1758134417.133396000","10.3.7.72","18.8.23.13",,,"36412","36412","5230","39954","23"
"76","1758134417.133396000","7.193.167.162","10.164.26.130",,,"53706","36412","39954","3250645983","23"
"77","1758134417.133410000","10.3.7.45","18.8.23.13",,,"36412","36412","17083",,"12"
"78","1758134417.133411000","7.193.167.162","10.165.92.130",,,"52371","36412","1807",,"12"
"79","1758134417.133411000","10.165.92.130","7.193.167.162",,,"36412","52371","1807","1103669893","9"
"80","1758134417.441803000","18.8.23.13","10.3.7.45",,,"36412","36412","17083","1807","9"
"81","1758134417.441809000","10.3.7.45","18.8.23.13",,,"36412","36412","17083","1807","9"
"82","1758134417.441809000","7.193.167.162","10.165.92.130",,,"52371","36412","1807","1103669893","9"
"83","1758134418.245413000","10.3.7.23","18.8.23.13",,,"36412","36412","11091","1520143","18"
"84","1758134418.245414000",,,"2600:300:20e2:a315::1:db85","2600:300:3008:2::8","50899","36412","1520143","134609929","18"
"85","1758134418.245415000",,,"2600:300:3008:2::8","2600:300:20e2:a315::1:db85","36412","50899","1520143","134609929","23"
"86","1758134418.245416000","18.8.23.13","10.3.7.23",,,"36412","36412","11091","1520143","23"
"87","1758134418.245417000","10.3.7.23","18.8.23.13",,,"36412","36412","11091","1520143","23"
"88","1758134418.245418000",,,"2600:300:20e2:a315::1:db85","2600:300:3008:2::8","50899","36412","1520143","134609929","23"
"89","1758134420.877631000","10.3.7.24","18.8.23.13",,,"36412","36412","11400",,"12"
"90","1758134420.877632000","7.193.167.162","10.164.26.130",,,"53706","36412","1292",,"12"
"91","1758134420.877632000","10.164.26.130","7.193.167.162",,,"36412","53706","33810","3250509694","23"
"92","1758134420.877633000","18.8.23.13","10.3.7.24",,,"36412","36412","11398","33810","23"
"93","1758134420.877634000","10.3.7.24","18.8.23.13",,,"36412","36412","11398","33810","23"
"94","1758134420.877663000","7.193.167.162","10.164.26.130",,,"53706","36412","33810","3250509694","23"
"95","1758134420.877663000","10.164.26.130","7.193.167.162",,,"36412","53706","1292","3250664530","11"
"96","1758134420.877664000","10.164.26.130","7.193.167.162",,,"36412","53706","1292","3250664530","23"
"97","1758134420.877665000","18.8.23.13","10.3.7.24",,,"36412","36412","11400","1292","11"
"98","1758134420.877665000","18.8.23.13","10.3.7.24",,,"36412","36412","11400","1292","23"
"99","1758134420.877666000","10.3.7.24","18.8.23.13",,,"36412","36412","11400","1292","23"
"100","1758134420.877666000","7.193.167.162","10.164.26.130",,,"53706","36412","1292","3250664530","23"
"101","1758134421.115278000","10.3.7.45","18.8.23.13",,,"36412","36412","17084",,"12"
"102","1758134421.115279000","7.193.167.162","10.165.94.130",,,"41712","36412","1530640",,"12"
"103","1758134421.115280000","10.165.94.130","7.193.167.162",,,"36412","41712","24332","2178526054","23"
"104","1758134421.115280000","18.8.23.13","10.3.7.45",,,"36412","36412","17080","24332","23"
"105","1758134421.115281000","10.3.7.45","18.8.23.13",,,"36412","36412","17080","24332","23"
"106","1758134421.115282000","7.193.167.162","10.165.94.130",,,"41712","36412","24332","2178526054","23"
"107","1758134421.115282000","10.165.94.130","7.193.167.162",,,"36412","41712","1530640","2178713980","11"
"108","1758134421.115314000","10.165.94.130","7.193.167.162",,,"36412","41712","1530640","2178713980","23"
"109","1758134421.115315000","18.8.23.13","10.3.7.45",,,"36412","36412","17084","1530640","11"
"110","1758134421.115316000","18.8.23.13","10.3.7.45",,,"36412","36412","17084","1530640","23"
"111","1758134421.115316000","10.3.7.45","18.8.23.13",,,"36412","36412","17084","1530640","23"
"112","1758134421.115317000","7.193.167.162","10.165.94.130",,,"41712","36412","1530640","2178713980","23"
"113","1758134422.484678000","10.3.7.72","18.8.23.13",,,"36412","36412","5231",,"12"
"114","1758134422.484704000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:5092:123:28a:0:2","45732","36412","56595",,"12"
"115","1758134422.657904000",,,"2001:4888:2010:5092:123:28a:0:2","2001:4888:2010:22:106:4402:1:5273","36412","45732","56595","3898287","9"
"116","1758134422.657911000","18.8.23.13","10.3.7.72",,,"36412","36412","5231","56595","9"
"117","1758134422.657913000","10.3.7.72","18.8.23.13",,,"36412","36412","5231","56595","9"
"118","1758134422.657914000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:5092:123:28a:0:2","45732","36412","56595","3898287","9"
"119","1758134424.183401000","10.3.7.39","18.8.23.13",,,"36412","36412","25130",,"12"
