frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,sctp.srcport,sctp.dstport,s1ap.ENB_UE_S1AP_ID,s1ap.MME_UE_S1AP_ID,s1ap.procedureCode
"1","1758134416.535666000","10.3.7.72","18.8.23.13",,,"36412","36412","5230",,"12"
"2","1758134416.641252000","18.8.23.13","10.3.7.72",,,"36412","36412","5230","39954","11"
"3","1758134416.769819000","10.3.7.72","18.8.23.13",,,"36412","36412","5230","39954","13"
"4","1758134416.769824000","18.8.23.13","10.3.7.72",,,"36412","36412","5230","39954","11"
"5","1758134416.903778000","10.3.7.72","18.8.23.13",,,"36412","36412","5230","39954","13"
"6","1758134416.903782000","18.8.23.13","10.3.7.72",,,"36412","36412","5230","39954","11"
"7","1758134416.903783000","18.8.23.13","10.3.7.72",,,"36412","36412","5230","39954","23"
"8","1758134417.133396000","10.3.7.72","18.8.23.13",,,"36412","36412","5230","39954","23"
